,value,series_name,date
148,26.85,CPI,1954-08-01
149,26.86,CPI,1954-07-01
150,26.94,CPI,1954-06-01
151,26.93,CPI,1954-05-01
152,26.86,CPI,1954-04-01
153,26.93,CPI,1954-03-01
154,26.99,CPI,1954-02-01
155,26.94,CPI,1954-01-01
156,26.87,CPI,1953-12-01
157,26.85,CPI,1953-11-01
158,26.95,CPI,1953-10-01
159,26.89,CPI,1953-09-01
160,26.85,CPI,1953-08-01
161,26.79,CPI,1953-07-01
162,26.77,CPI,1953-06-01
163,26.70,CPI,1953-05-01
164,26.69,CPI,1953-04-01
165,26.63,CPI,1953-03-01
166,26.59,CPI,1953-02-01
167,26.64,CPI,1953-01-01
168,26.71,CPI,1952-12-01
169,26.69,CPI,1952-11-01
170,26.69,CPI,1952-10-01
171,26.63,CPI,1952-09-01
172,26.69,CPI,1952-08-01
173,26.68,CPI,1952-07-01
174,26.53,CPI,1952-06-01
175,26.47,CPI,1952-05-01
176,26.46,CPI,1952-04-01
177,26.39,CPI,1952-03-01
178,26.41,CPI,1952-02-01
179,26.45,CPI,1952-01-01
180,26.47,CPI,1951-12-01
181,26.32,CPI,1951-11-01
182,26.16,CPI,1951-10-01
183,26.03,CPI,1951-09-01
184,25.86,CPI,1951-08-01
185,25.91,CPI,1951-07-01
186,25.93,CPI,1951-06-01
187,25.99,CPI,1951-05-01
188,25.92,CPI,1951-04-01
189,25.88,CPI,1951-03-01
190,25.83,CPI,1951-02-01
191,25.38,CPI,1951-01-01
192,24.98,CPI,1950-12-01
193,24.60,CPI,1950-11-01
194,24.50,CPI,1950-10-01
195,24.34,CPI,1950-09-01
196,24.20,CPI,1950-08-01
197,24.07,CPI,1950-07-01
198,23.88,CPI,1950-06-01
199,23.77,CPI,1950-05-01
200,23.65,CPI,1950-04-01
201,23.64,CPI,1950-03-01
202,23.61,CPI,1950-02-01
203,23.51,CPI,1950-01-01
204,23.61,CPI,1949-12-01
205,23.70,CPI,1949-11-01
206,23.67,CPI,1949-10-01
207,23.75,CPI,1949-09-01
208,23.70,CPI,1949-08-01
209,23.70,CPI,1949-07-01
210,23.92,CPI,1949-06-01
211,23.91,CPI,1949-05-01
212,23.92,CPI,1949-04-01
213,23.91,CPI,1949-03-01
214,23.91,CPI,1949-02-01
215,24.01,CPI,1949-01-01
216,24.05,CPI,1948-12-01
217,24.16,CPI,1948-11-01
218,24.31,CPI,1948-10-01
219,24.36,CPI,1948-09-01
220,24.43,CPI,1948-08-01
221,24.40,CPI,1948-07-01
222,24.15,CPI,1948-06-01
223,24.01,CPI,1948-05-01
224,23.82,CPI,1948-04-01
225,23.50,CPI,1948-03-01
226,23.67,CPI,1948-02-01
227,23.68,CPI,1948-01-01
228,23.41,CPI,1947-12-01
229,23.06,CPI,1947-11-01
230,22.91,CPI,1947-10-01
231,22.84,CPI,1947-09-01
232,22.40,CPI,1947-08-01
233,22.23,CPI,1947-07-01
234,22.08,CPI,1947-06-01
235,21.95,CPI,1947-05-01
236,22.00,CPI,1947-04-01
237,22.00,CPI,1947-03-01
238,21.62,CPI,1947-02-01
239,21.48,CPI,1947-01-01
0,109.50,CPI,1985-12-01
1,109.00,CPI,1985-11-01
2,108.50,CPI,1985-10-01
3,108.10,CPI,1985-09-01
4,107.90,CPI,1985-08-01
5,107.70,CPI,1985-07-01
6,107.50,CPI,1985-06-01
7,107.20,CPI,1985-05-01
8,107.00,CPI,1985-04-01
9,106.80,CPI,1985-03-01
10,106.30,CPI,1985-02-01
11,105.70,CPI,1985-01-01
12,105.50,CPI,1984-12-01
13,105.30,CPI,1984-11-01
14,105.10,CPI,1984-10-01
15,104.70,CPI,1984-09-01
16,104.40,CPI,1984-08-01
17,104.10,CPI,1984-07-01
18,103.70,CPI,1984-06-01
19,103.50,CPI,1984-05-01
20,103.30,CPI,1984-04-01
21,102.90,CPI,1984-03-01
22,102.60,CPI,1984-02-01
23,102.10,CPI,1984-01-01
24,101.40,CPI,1983-12-01
25,101.10,CPI,1983-11-01
26,100.80,CPI,1983-10-01
27,100.40,CPI,1983-09-01
28,100.10,CPI,1983-08-01
29,99.80,CPI,1983-07-01
30,99.40,CPI,1983-06-01
31,99.20,CPI,1983-05-01
32,98.80,CPI,1983-04-01
33,98.10,CPI,1983-03-01
34,98.00,CPI,1983-02-01
35,97.90,CPI,1983-01-01
36,97.70,CPI,1982-12-01
37,98.00,CPI,1982-11-01
38,98.10,CPI,1982-10-01
39,97.70,CPI,1982-09-01
40,97.70,CPI,1982-08-01
41,97.50,CPI,1982-07-01
42,97.00,CPI,1982-06-01
43,95.90,CPI,1982-05-01
44,95.00,CPI,1982-04-01
45,94.70,CPI,1982-03-01
46,94.70,CPI,1982-02-01
47,94.40,CPI,1982-01-01
48,94.10,CPI,1981-12-01
49,93.80,CPI,1981-11-01
50,93.40,CPI,1981-10-01
51,93.10,CPI,1981-09-01
52,92.20,CPI,1981-08-01
53,91.50,CPI,1981-07-01
54,90.50,CPI,1981-06-01
55,89.70,CPI,1981-05-01
56,89.10,CPI,1981-04-01
57,88.60,CPI,1981-03-01
58,88.00,CPI,1981-02-01
59,87.20,CPI,1981-01-01
60,86.40,CPI,1980-12-01
61,85.60,CPI,1980-11-01
62,84.70,CPI,1980-10-01
63,83.90,CPI,1980-09-01
64,83.20,CPI,1980-08-01
65,82.60,CPI,1980-07-01
66,82.50,CPI,1980-06-01
67,81.70,CPI,1980-05-01
68,80.90,CPI,1980-04-01
69,80.10,CPI,1980-03-01
70,79.00,CPI,1980-02-01
71,78.00,CPI,1980-01-01
72,76.90,CPI,1979-12-01
73,76.00,CPI,1979-11-01
74,75.20,CPI,1979-10-01
75,74.40,CPI,1979-09-01
76,73.70,CPI,1979-08-01
77,73.00,CPI,1979-07-01
78,72.20,CPI,1979-06-01
79,71.40,CPI,1979-05-01
80,70.60,CPI,1979-04-01
81,69.90,CPI,1979-03-01
82,69.20,CPI,1979-02-01
83,68.50,CPI,1979-01-01
84,67.90,CPI,1978-12-01
85,67.50,CPI,1978-11-01
86,67.10,CPI,1978-10-01
87,66.50,CPI,1978-09-01
88,65.90,CPI,1978-08-01
89,65.50,CPI,1978-07-01
90,65.00,CPI,1978-06-01
91,64.50,CPI,1978-05-01
92,63.90,CPI,1978-04-01
93,63.40,CPI,1978-03-01
94,63.00,CPI,1978-02-01
95,62.70,CPI,1978-01-01
96,62.30,CPI,1977-12-01
97,62.00,CPI,1977-11-01
98,61.60,CPI,1977-10-01
99,61.30,CPI,1977-09-01
100,61.10,CPI,1977-08-01
101,60.80,CPI,1977-07-01
102,60.50,CPI,1977-06-01
103,60.20,CPI,1977-05-01
104,60.00,CPI,1977-04-01
105,59.60,CPI,1977-03-01
106,59.30,CPI,1977-02-01
107,58.70,CPI,1977-01-01
108,58.40,CPI,1976-12-01
109,58.10,CPI,1976-11-01
110,57.90,CPI,1976-10-01
111,57.60,CPI,1976-09-01
112,57.30,CPI,1976-08-01
113,57.00,CPI,1976-07-01
114,56.70,CPI,1976-06-01
115,56.40,CPI,1976-05-01
116,56.10,CPI,1976-04-01
117,56.00,CPI,1976-03-01
118,55.90,CPI,1976-02-01
119,55.80,CPI,1976-01-01
120,55.60,CPI,1975-12-01
121,55.30,CPI,1975-11-01
122,54.90,CPI,1975-10-01
123,54.60,CPI,1975-09-01
124,54.20,CPI,1975-08-01
125,54.00,CPI,1975-07-01
126,53.50,CPI,1975-06-01
127,53.10,CPI,1975-05-01
128,53.00,CPI,1975-04-01
129,52.80,CPI,1975-03-01
130,52.60,CPI,1975-02-01
131,52.30,CPI,1975-01-01
132,51.90,CPI,1974-12-01
133,51.50,CPI,1974-11-01
134,51.00,CPI,1974-10-01
135,50.60,CPI,1974-09-01
136,49.90,CPI,1974-08-01
137,49.30,CPI,1974-07-01
138,49.00,CPI,1974-06-01
139,48.60,CPI,1974-05-01
140,48.10,CPI,1974-04-01
141,47.80,CPI,1974-03-01
142,47.30,CPI,1974-02-01
143,46.80,CPI,1974-01-01
144,46.30,CPI,1973-12-01
145,45.90,CPI,1973-11-01
146,45.60,CPI,1973-10-01
147,45.20,CPI,1973-09-01
148,45.00,CPI,1973-08-01
149,44.20,CPI,1973-07-01
150,44.20,CPI,1973-06-01
151,43.90,CPI,1973-05-01
152,43.70,CPI,1973-04-01
153,43.40,CPI,1973-03-01
154,43.00,CPI,1973-02-01
155,42.70,CPI,1973-01-01
156,42.50,CPI,1972-12-01
157,42.40,CPI,1972-11-01
158,42.20,CPI,1972-10-01
159,42.10,CPI,1972-09-01
160,41.90,CPI,1972-08-01
161,41.80,CPI,1972-07-01
162,41.70,CPI,1972-06-01
163,41.60,CPI,1972-05-01
164,41.50,CPI,1972-04-01
165,41.40,CPI,1972-03-01
166,41.40,CPI,1972-02-01
167,41.20,CPI,1972-01-01
168,41.10,CPI,1971-12-01
169,41.00,CPI,1971-11-01
170,40.90,CPI,1971-10-01
171,40.80,CPI,1971-09-01
172,40.70,CPI,1971-08-01
173,40.60,CPI,1971-07-01
174,40.50,CPI,1971-06-01
175,40.30,CPI,1971-05-01
176,40.10,CPI,1971-04-01
177,40.00,CPI,1971-03-01
178,39.90,CPI,1971-02-01
179,39.90,CPI,1971-01-01
180,39.80,CPI,1970-12-01
181,39.60,CPI,1970-11-01
182,39.40,CPI,1970-10-01
183,39.20,CPI,1970-09-01
184,39.00,CPI,1970-08-01
185,38.90,CPI,1970-07-01
186,38.80,CPI,1970-06-01
187,38.60,CPI,1970-05-01
188,38.50,CPI,1970-04-01
189,38.30,CPI,1970-03-01
190,38.10,CPI,1970-02-01
191,37.90,CPI,1970-01-01
192,37.70,CPI,1969-12-01
193,37.50,CPI,1969-11-01
194,37.30,CPI,1969-10-01
195,37.10,CPI,1969-09-01
196,36.90,CPI,1969-08-01
197,36.80,CPI,1969-07-01
198,36.60,CPI,1969-06-01
199,36.40,CPI,1969-05-01
200,36.30,CPI,1969-04-01
201,36.10,CPI,1969-03-01
202,35.80,CPI,1969-02-01
203,35.70,CPI,1969-01-01
204,35.60,CPI,1968-12-01
205,35.40,CPI,1968-11-01
206,35.30,CPI,1968-10-01
207,35.10,CPI,1968-09-01
208,35.00,CPI,1968-08-01
209,34.90,CPI,1968-07-01
210,34.70,CPI,1968-06-01
211,34.50,CPI,1968-05-01
212,34.40,CPI,1968-04-01
213,34.30,CPI,1968-03-01
214,34.20,CPI,1968-02-01
215,34.10,CPI,1968-01-01
216,34.00,CPI,1967-12-01
217,33.90,CPI,1967-11-01
218,33.70,CPI,1967-10-01
219,33.60,CPI,1967-09-01
220,33.50,CPI,1967-08-01
221,33.40,CPI,1967-07-01
222,33.30,CPI,1967-06-01
223,33.10,CPI,1967-05-01
224,33.10,CPI,1967-04-01
225,33.00,CPI,1967-03-01
226,33.00,CPI,1967-02-01
227,32.90,CPI,1967-01-01
228,32.92,CPI,1966-12-01
229,32.88,CPI,1966-11-01
230,32.85,CPI,1966-10-01
231,32.75,CPI,1966-09-01
232,32.65,CPI,1966-08-01
233,32.45,CPI,1966-07-01
234,32.38,CPI,1966-06-01
235,32.35,CPI,1966-05-01
236,32.28,CPI,1966-04-01
237,32.18,CPI,1966-03-01
238,32.08,CPI,1966-02-01
239,31.88,CPI,1966-01-01
0,191.7,CPI,2004-12-01
1,191.7,CPI,2004-11-01
2,190.8,CPI,2004-10-01
3,189.8,CPI,2004-09-01
4,189.2,CPI,2004-08-01
5,189.1,CPI,2004-07-01
6,188.9,CPI,2004-06-01
7,188.2,CPI,2004-05-01
8,187.4,CPI,2004-04-01
9,187.1,CPI,2004-03-01
10,186.7,CPI,2004-02-01
11,186.3,CPI,2004-01-01
12,185.5,CPI,2003-12-01
13,185.0,CPI,2003-11-01
14,184.9,CPI,2003-10-01
15,185.1,CPI,2003-09-01
16,184.5,CPI,2003-08-01
17,183.7,CPI,2003-07-01
18,183.1,CPI,2003-06-01
19,182.9,CPI,2003-05-01
20,183.2,CPI,2003-04-01
21,183.9,CPI,2003-03-01
22,183.6,CPI,2003-02-01
23,182.6,CPI,2003-01-01
24,181.8,CPI,2002-12-01
25,181.5,CPI,2002-11-01
26,181.2,CPI,2002-10-01
27,180.8,CPI,2002-09-01
28,180.5,CPI,2002-08-01
29,180.0,CPI,2002-07-01
30,179.6,CPI,2002-06-01
31,179.5,CPI,2002-05-01
32,179.3,CPI,2002-04-01
33,178.5,CPI,2002-03-01
34,178.0,CPI,2002-02-01
35,177.7,CPI,2002-01-01
36,177.40,CPI,2001-12-01
37,177.50,CPI,2001-11-01
38,177.60,CPI,2001-10-01
39,178.10,CPI,2001-09-01
40,177.40,CPI,2001-08-01
41,177.40,CPI,2001-07-01
42,177.70,CPI,2001-06-01
43,177.30,CPI,2001-05-01
44,176.40,CPI,2001-04-01
45,176.10,CPI,2001-03-01
46,176.00,CPI,2001-02-01
47,175.60,CPI,2001-01-01
48,174.60,CPI,2000-12-01
49,174.20,CPI,2000-11-01
50,173.90,CPI,2000-10-01
51,173.60,CPI,2000-09-01
52,172.70,CPI,2000-08-01
53,172.70,CPI,2000-07-01
54,172.20,CPI,2000-06-01
55,171.20,CPI,2000-05-01
56,170.90,CPI,2000-04-01
57,171.00,CPI,2000-03-01
58,170.00,CPI,2000-02-01
59,169.30,CPI,2000-01-01
60,168.80,CPI,1999-12-01
61,168.40,CPI,1999-11-01
62,168.10,CPI,1999-10-01
63,167.80,CPI,1999-09-01
64,167.10,CPI,1999-08-01
65,166.70,CPI,1999-07-01
66,166.00,CPI,1999-06-01
67,166.00,CPI,1999-05-01
68,165.90,CPI,1999-04-01
69,164.80,CPI,1999-03-01
70,164.70,CPI,1999-02-01
71,164.70,CPI,1999-01-01
72,164.40,CPI,1998-12-01
73,164.10,CPI,1998-11-01
74,163.90,CPI,1998-10-01
75,163.50,CPI,1998-09-01
76,163.40,CPI,1998-08-01
77,163.20,CPI,1998-07-01
78,162.80,CPI,1998-06-01
79,162.60,CPI,1998-05-01
80,162.20,CPI,1998-04-01
81,162.00,CPI,1998-03-01
82,162.00,CPI,1998-02-01
83,162.00,CPI,1998-01-01
84,161.80,CPI,1997-12-01
85,161.70,CPI,1997-11-01
86,161.50,CPI,1997-10-01
87,161.20,CPI,1997-09-01
88,160.80,CPI,1997-08-01
89,160.40,CPI,1997-07-01
90,160.20,CPI,1997-06-01
91,159.90,CPI,1997-05-01
92,159.90,CPI,1997-04-01
93,159.80,CPI,1997-03-01
94,159.70,CPI,1997-02-01
95,159.40,CPI,1997-01-01
96,159.10,CPI,1996-12-01
97,158.70,CPI,1996-11-01
98,158.20,CPI,1996-10-01
99,157.70,CPI,1996-09-01
100,157.20,CPI,1996-08-01
101,157.00,CPI,1996-07-01
102,156.70,CPI,1996-06-01
103,156.40,CPI,1996-05-01
104,156.10,CPI,1996-04-01
105,155.50,CPI,1996-03-01
106,155.00,CPI,1996-02-01
107,154.70,CPI,1996-01-01
108,153.90,CPI,1995-12-01
109,153.70,CPI,1995-11-01
110,153.50,CPI,1995-10-01
111,153.10,CPI,1995-09-01
112,152.90,CPI,1995-08-01
113,152.60,CPI,1995-07-01
114,152.40,CPI,1995-06-01
115,152.10,CPI,1995-05-01
116,151.80,CPI,1995-04-01
117,151.20,CPI,1995-03-01
118,150.90,CPI,1995-02-01
119,150.50,CPI,1995-01-01
120,150.10,CPI,1994-12-01
121,149.80,CPI,1994-11-01
122,149.40,CPI,1994-10-01
123,149.30,CPI,1994-09-01
124,149.00,CPI,1994-08-01
125,148.40,CPI,1994-07-01
126,147.90,CPI,1994-06-01
127,147.50,CPI,1994-05-01
128,147.20,CPI,1994-04-01
129,147.10,CPI,1994-03-01
130,146.70,CPI,1994-02-01
131,146.30,CPI,1994-01-01
132,146.30,CPI,1993-12-01
133,146.00,CPI,1993-11-01
134,145.60,CPI,1993-10-01
135,145.00,CPI,1993-09-01
136,144.80,CPI,1993-08-01
137,144.50,CPI,1993-07-01
138,144.30,CPI,1993-06-01
139,144.20,CPI,1993-05-01
140,143.80,CPI,1993-04-01
141,143.30,CPI,1993-03-01
142,143.10,CPI,1993-02-01
143,142.80,CPI,1993-01-01
144,142.30,CPI,1992-12-01
145,142.10,CPI,1992-11-01
146,141.70,CPI,1992-10-01
147,141.10,CPI,1992-09-01
148,140.80,CPI,1992-08-01
149,140.50,CPI,1992-07-01
150,140.10,CPI,1992-06-01
151,139.70,CPI,1992-05-01
152,139.40,CPI,1992-04-01
153,139.10,CPI,1992-03-01
154,138.60,CPI,1992-02-01
155,138.30,CPI,1992-01-01
156,138.20,CPI,1991-12-01
157,137.80,CPI,1991-11-01
158,137.20,CPI,1991-10-01
159,137.00,CPI,1991-09-01
160,136.60,CPI,1991-08-01
161,136.20,CPI,1991-07-01
162,136.00,CPI,1991-06-01
163,135.60,CPI,1991-05-01
164,135.10,CPI,1991-04-01
165,134.80,CPI,1991-03-01
166,134.80,CPI,1991-02-01
167,134.70,CPI,1991-01-01
168,134.20,CPI,1990-12-01
169,133.70,CPI,1990-11-01
170,133.40,CPI,1990-10-01
171,132.50,CPI,1990-09-01
172,131.60,CPI,1990-08-01
173,130.50,CPI,1990-07-01
174,129.90,CPI,1990-06-01
175,129.10,CPI,1990-05-01
176,128.90,CPI,1990-04-01
177,128.60,CPI,1990-03-01
178,128.00,CPI,1990-02-01
179,127.50,CPI,1990-01-01
180,126.30,CPI,1989-12-01
181,125.90,CPI,1989-11-01
182,125.40,CPI,1989-10-01
183,124.80,CPI,1989-09-01
184,124.50,CPI,1989-08-01
185,124.50,CPI,1989-07-01
186,124.10,CPI,1989-06-01
187,123.70,CPI,1989-05-01
188,123.10,CPI,1989-04-01
189,122.20,CPI,1989-03-01
190,121.60,CPI,1989-02-01
191,121.20,CPI,1989-01-01
192,120.70,CPI,1988-12-01
193,120.30,CPI,1988-11-01
194,119.90,CPI,1988-10-01
195,119.50,CPI,1988-09-01
196,119.00,CPI,1988-08-01
197,118.50,CPI,1988-07-01
198,118.00,CPI,1988-06-01
199,117.50,CPI,1988-05-01
200,117.20,CPI,1988-04-01
201,116.50,CPI,1988-03-01
202,116.20,CPI,1988-02-01
203,116.00,CPI,1988-01-01
204,115.60,CPI,1987-12-01
205,115.40,CPI,1987-11-01
206,115.00,CPI,1987-10-01
207,114.70,CPI,1987-09-01
208,114.30,CPI,1987-08-01
209,113.80,CPI,1987-07-01
210,113.50,CPI,1987-06-01
211,113.00,CPI,1987-05-01
212,112.70,CPI,1987-04-01
213,112.20,CPI,1987-03-01
214,111.80,CPI,1987-02-01
215,111.40,CPI,1987-01-01
216,110.80,CPI,1986-12-01
217,110.40,CPI,1986-11-01
218,110.20,CPI,1986-10-01
219,110.00,CPI,1986-09-01
220,109.60,CPI,1986-08-01
221,109.50,CPI,1986-07-01
222,109.40,CPI,1986-06-01
223,109.00,CPI,1986-05-01
224,108.70,CPI,1986-04-01
225,109.10,CPI,1986-03-01
226,109.70,CPI,1986-02-01
227,109.90,CPI,1986-01-01
228,109.50,CPI,1985-12-01
229,109.00,CPI,1985-11-01
230,108.50,CPI,1985-10-01
231,108.10,CPI,1985-09-01
232,107.90,CPI,1985-08-01
233,107.70,CPI,1985-07-01
234,107.50,CPI,1985-06-01
235,107.20,CPI,1985-05-01
236,107.00,CPI,1985-04-01
237,106.80,CPI,1985-03-01
238,106.30,CPI,1985-02-01
239,105.70,CPI,1985-01-01
0,278.880,CPI,2021-11-01
1,276.724,CPI,2021-10-01
2,274.138,CPI,2021-09-01
3,273.012,CPI,2021-08-01
4,272.265,CPI,2021-07-01
5,270.981,CPI,2021-06-01
6,268.551,CPI,2021-05-01
7,266.832,CPI,2021-04-01
8,264.793,CPI,2021-03-01
9,263.161,CPI,2021-02-01
10,262.231,CPI,2021-01-01
11,261.560,CPI,2020-12-01
12,260.927,CPI,2020-11-01
13,260.462,CPI,2020-10-01
14,260.149,CPI,2020-09-01
15,259.511,CPI,2020-08-01
16,258.604,CPI,2020-07-01
17,257.282,CPI,2020-06-01
18,255.942,CPI,2020-05-01
19,256.192,CPI,2020-04-01
20,257.989,CPI,2020-03-01
21,258.824,CPI,2020-02-01
22,258.687,CPI,2020-01-01
23,258.203,CPI,2019-12-01
24,257.989,CPI,2019-11-01
25,257.387,CPI,2019-10-01
26,256.532,CPI,2019-09-01
27,256.118,CPI,2019-08-01
28,255.925,CPI,2019-07-01
29,255.423,CPI,2019-06-01
30,255.371,CPI,2019-05-01
31,255.326,CPI,2019-04-01
32,254.147,CPI,2019-03-01
33,252.969,CPI,2019-02-01
34,252.441,CPI,2019-01-01
35,252.493,CPI,2018-12-01
36,252.822,CPI,2018-11-01
37,252.899,CPI,2018-10-01
38,252.183,CPI,2018-09-01
39,251.735,CPI,2018-08-01
40,251.345,CPI,2018-07-01
41,251.152,CPI,2018-06-01
42,250.786,CPI,2018-05-01
43,250.275,CPI,2018-04-01
44,249.517,CPI,2018-03-01
45,249.300,CPI,2018-02-01
46,248.721,CPI,2018-01-01
47,247.736,CPI,2017-12-01
48,247.378,CPI,2017-11-01
49,246.657,CPI,2017-10-01
50,246.551,CPI,2017-09-01
51,245.205,CPI,2017-08-01
52,244.280,CPI,2017-07-01
53,244.218,CPI,2017-06-01
54,244.069,CPI,2017-05-01
55,244.274,CPI,2017-04-01
56,243.766,CPI,2017-03-01
57,243.872,CPI,2017-02-01
58,243.620,CPI,2017-01-01
59,242.637,CPI,2016-12-01
60,242.026,CPI,2016-11-01
61,241.741,CPI,2016-10-01
62,241.176,CPI,2016-09-01
63,240.545,CPI,2016-08-01
64,240.101,CPI,2016-07-01
65,240.222,CPI,2016-06-01
66,239.557,CPI,2016-05-01
67,238.992,CPI,2016-04-01
68,238.080,CPI,2016-03-01
69,237.336,CPI,2016-02-01
70,237.652,CPI,2016-01-01
71,237.761,CPI,2015-12-01
72,238.017,CPI,2015-11-01
73,237.733,CPI,2015-10-01
74,237.498,CPI,2015-09-01
75,238.033,CPI,2015-08-01
76,238.034,CPI,2015-07-01
77,237.657,CPI,2015-06-01
78,237.001,CPI,2015-05-01
79,236.222,CPI,2015-04-01
80,235.976,CPI,2015-03-01
81,235.342,CPI,2015-02-01
82,234.747,CPI,2015-01-01
83,236.252,CPI,2014-12-01
84,236.983,CPI,2014-11-01
85,237.430,CPI,2014-10-01
86,237.477,CPI,2014-09-01
87,237.460,CPI,2014-08-01
88,237.498,CPI,2014-07-01
89,237.231,CPI,2014-06-01
90,236.918,CPI,2014-05-01
91,236.468,CPI,2014-04-01
92,236.028,CPI,2014-03-01
93,235.547,CPI,2014-02-01
94,235.288,CPI,2014-01-01
95,234.719,CPI,2013-12-01
96,234.100,CPI,2013-11-01
97,233.669,CPI,2013-10-01
98,233.544,CPI,2013-09-01
99,233.456,CPI,2013-08-01
100,232.900,CPI,2013-07-01
101,232.445,CPI,2013-06-01
